date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:15	146614/146614	---M-Z	200	added ('OK')	text/html	etag:W/%223afa9f0d9bc9526e0db2ae2a2cd85192%22	https://nd-noi-that.mysapo.net/	E:/template/noithat/nd-noi-that.mysapo.net/index.html	(from )
08:53:15	89/89	---MCZ	200	added ('OK')	text/plain	date:Fri,%2029%20Apr%202022%2001:53:15%20GMT	https://nd-noi-that.mysapo.net/robots.txt		(from )
08:53:15	499/499	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Dec%202021%2012:14:06%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/favicon.png?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/faviconfe5e.png	(from https://nd-noi-that.mysapo.net/)
08:53:15	7271/7271	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Apr%202022%2016:06:28%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/logo.png?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/logofe5e.png	(from https://nd-noi-that.mysapo.net/)
08:53:16	124838/124838	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2002:45:51%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/bootstrap.scss.css?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/bootstrap.scssfe5e.css	(from https://nd-noi-that.mysapo.net/)
08:53:17	76526/76526	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2002:45:50%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/base.scss.css?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/base.scssfe5e.css	(from https://nd-noi-that.mysapo.net/)
08:53:18	148882/148882	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2002:45:51%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/style.scss.css?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/style.scssfe5e.css	(from https://nd-noi-that.mysapo.net/)
08:53:18	17318/17318	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2003:23:29%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/module.scss.css?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/module.scssfe5e.css	(from https://nd-noi-that.mysapo.net/)
08:53:21	175284/175284	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Apr%202022%2008:35:27%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/jquery.js?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/jqueryfe5e.js	(from https://nd-noi-that.mysapo.net/)
08:53:21	74838/74838	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Apr%202022%2001:53:19%20GMT	https://nd-noi-that.mysapo.net/s	E:/template/noithat/nd-noi-that.mysapo.net/s	(from https://nd-noi-that.mysapo.net/)
08:53:21	8688/8688	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d8592209776170%22	https://nd-noi-that.mysapo.net/dist/js/stats.min.js?v=ed6e8e3	E:/template/noithat/nd-noi-that.mysapo.net/dist/js/stats.min4d55.js	(from https://nd-noi-that.mysapo.net/)
08:53:21	76222/76222	---M-Z	200	added ('OK')	text/html	etag:W/%227324844952c7b784a273b769eb1c5b38%22	https://nd-noi-that.mysapo.net/cart	E:/template/noithat/nd-noi-that.mysapo.net/cart.html	(from https://nd-noi-that.mysapo.net/)
08:53:22	984/984	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Mar%202022%2007:42:31%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/icon_cart.png?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/icon_cartfe5e.png	(from https://nd-noi-that.mysapo.net/)
08:53:22	79939/79939	---M-Z	200	added ('OK')	text/html	etag:W/%227ef269ee4a17aec43c339b485948e7c9%22	https://nd-noi-that.mysapo.net/he-thong-cua-hang	E:/template/noithat/nd-noi-that.mysapo.net/he-thong-cua-hang.html	(from https://nd-noi-that.mysapo.net/)
08:53:22	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2029%20Apr%202022%2001:53:24%20GMT	https://nd-noi-that.mysapo.net/account	E:/template/noithat/nd-noi-that.mysapo.net/account	(from https://nd-noi-that.mysapo.net/)
08:53:23	80316/80316	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2001:53:24%20GMT	https://nd-noi-that.mysapo.net/account/login?ReturnUrl=%2Faccount	E:/template/noithat/nd-noi-that.mysapo.net/account/logina3b1.html	(from https://nd-noi-that.mysapo.net/)
08:53:23	80204/80204	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2001:53:24%20GMT	https://nd-noi-that.mysapo.net/account/login	E:/template/noithat/nd-noi-that.mysapo.net/account/login.html	(from https://nd-noi-that.mysapo.net/)
08:53:23	79761/79761	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2001:53:24%20GMT	https://nd-noi-that.mysapo.net/account/register	E:/template/noithat/nd-noi-that.mysapo.net/account/register.html	(from https://nd-noi-that.mysapo.net/)
08:53:23	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2029%20Apr%202022%2001:53:25%20GMT	https://nd-noi-that.mysapo.net/checkout	E:/template/noithat/nd-noi-that.mysapo.net/checkout	(from https://nd-noi-that.mysapo.net/)
08:53:24	121318/121318	---M-Z	200	added ('OK')	text/html	etag:W/%226b49e3ab3d2fd170605a7318ede688c2%22	https://nd-noi-that.mysapo.net/san-pham-noi-bat	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-noi-bat.html	(from https://nd-noi-that.mysapo.net/)
08:53:24	109574/109574	---M-Z	200	added ('OK')	text/html	etag:W/%2247ce16665f84a38605439b272f85eec0%22	https://nd-noi-that.mysapo.net/san-pham-khuyen-mai	E:/template/noithat/nd-noi-that.mysapo.net/san-pham-khuyen-mai.html	(from https://nd-noi-that.mysapo.net/)
08:53:24	105856/105856	---M-Z	200	added ('OK')	text/html	etag:W/%22802fd292317220becd7ba66e37b61b0d%22	https://nd-noi-that.mysapo.net/noi-that-van-phong	E:/template/noithat/nd-noi-that.mysapo.net/noi-that-van-phong.html	(from https://nd-noi-that.mysapo.net/)
08:53:24	105847/105847	---M-Z	200	added ('OK')	text/html	etag:W/%226618c05c32fd66daf81fb3b4dc644281%22	https://nd-noi-that.mysapo.net/noi-that-gia-dinh	E:/template/noithat/nd-noi-that.mysapo.net/noi-that-gia-dinh.html	(from https://nd-noi-that.mysapo.net/)
08:53:25	105724/105724	---M-Z	200	added ('OK')	text/html	etag:W/%22ccf20b86331dc9f24161c3e5f6062751%22	https://nd-noi-that.mysapo.net/ban-an	E:/template/noithat/nd-noi-that.mysapo.net/ban-an.html	(from https://nd-noi-that.mysapo.net/)
08:53:25	105730/105730	---M-Z	200	added ('OK')	text/html	etag:W/%22d056583cdd6cc85834aae9d75a0a2d81%22	https://nd-noi-that.mysapo.net/giuong	E:/template/noithat/nd-noi-that.mysapo.net/giuong.html	(from https://nd-noi-that.mysapo.net/)
08:53:25	105697/105697	---M-Z	200	added ('OK')	text/html	etag:W/%2239ad5c313e32556fc79f4c5c79090c3d%22	https://nd-noi-that.mysapo.net/ghe	E:/template/noithat/nd-noi-that.mysapo.net/ghe.html	(from https://nd-noi-that.mysapo.net/)
08:53:25	105727/105727	---M-Z	200	added ('OK')	text/html	etag:W/%22c94d03028b1fe65483581bc42d38cc8c%22	https://nd-noi-that.mysapo.net/tu-ke	E:/template/noithat/nd-noi-that.mysapo.net/tu-ke.html	(from https://nd-noi-that.mysapo.net/)
08:53:26	105715/105715	---M-Z	200	added ('OK')	text/html	etag:W/%22e1c1e5430f503e844f6b62d3803dd4b9%22	https://nd-noi-that.mysapo.net/guong	E:/template/noithat/nd-noi-that.mysapo.net/guong.html	(from https://nd-noi-that.mysapo.net/)
